date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-11,3951.0,147578.0,570.0,18851.0,,,2440.8458176289346,311.7834942072873,
2020-04-12,4694.0,152272.0,619.0,19470.0,,,2518.48157816201,322.0213586661654,
2020-04-13,4092.0,156364.0,431.0,19901.0,,,2586.160643373204,329.14982325708047,
2020-04-14,3153.0,159517.0,564.0,20465.0,,,2638.309248605583,338.4780228609694,
2020-04-15,2972.0,162489.0,604.0,21069.0,,,2687.4642294969976,348.46779690485045,
2020-04-16,2667.0,165156.0,578.0,21647.0,,,2731.574705283472,358.02754756273663,
2020-04-17,3786.0,168942.0,525.0,22172.0,,,2794.1927260287266,366.7107120876332,
2020-04-18,3493.0,172435.0,575.0,22747.0,,,2851.964714001039,376.22084466251994,
2020-04-19,3491.0,175926.0,480.0,23227.0,,,2909.7036232513515,384.1597379424254,
2020-04-20,3047.0,178973.0,433.0,23660.0,7841.0,943151.0,2960.0990562177512,391.3212812553401,15599.114866325246
2020-04-21,2256.0,181229.0,454.0,24114.0,28095.0,971246.0,2997.411854633307,398.83015114925075,16063.788213614713
2020-04-22,2729.0,183958.0,534.0,24648.0,44248.0,1015494.0,3042.5477708017693,407.66216992314554,16795.621859133997
2020-04-23,3370.0,187328.0,437.0,25085.0,37083.0,1052577.0,3098.2854173711057,414.8898706800595,17408.950983089693
2020-04-24,2646.0,189974.0,464.0,25549.0,95273.0,1147850.0,3142.0485665765846,422.5641341839681,18984.70552362393
2020-04-25,3021.0,192995.0,420.0,25969.0,38676.0,1186526.0,3192.0139761569894,429.5106658038854,19624.381849652313
2020-04-26,2357.0,195352.0,415.0,26384.0,24113.0,1210639.0,3230.9972500335252,436.37450061880367,20023.195461440562
2020-04-27,2324.0,197676.0,260.0,26644.0,26678.0,1237317.0,3269.4347249970674,440.67473447875244,20464.43253419331
2020-04-28,1739.0,199415.0,333.0,26977.0,37554.0,1274871.0,3298.1966737757252,446.1823416916869,21085.55169717991
2020-04-29,2091.0,201506.0,382.0,27359.0,38589.0,1313460.0,3332.7804776263133,452.50037759361163,21723.789098801313
2020-04-30,2086.0,203592.0,323.0,27682.0,41441.0,1354901.0,3367.2815846719022,457.842591196548,22409.196757994152
2020-05-01,1872.0,205464.0,285.0,27967.0,43732.0,1398633.0,3398.2432684635337,462.55630908149186,23132.49609323754
2020-05-02,1965.0,207429.0,269.0,28236.0,31231.0,1429864.0,3430.743112828147,467.0053971904389,23649.036876622387
2020-05-03,1900.0,209329.0,474.0,28710.0,27047.0,1456911.0,3462.1678987277724,474.8450543043455,24096.37697358406
2020-05-04,1389.0,210718.0,174.0,28884.0,22999.0,1479910.0,3485.141071156499,477.72290311831125,24476.76573721853
2020-05-05,1221.0,211939.0,195.0,29079.0,32211.0,1512121.0,3505.3356309372584,480.9480785132729,25009.515094383187
2020-05-06,1075.0,213014.0,236.0,29315.0,37771.0,1549892.0,3523.1154440120467,484.8513677092264,25634.223298706747
2020-05-07,1444.0,214458.0,369.0,29684.0,13665.0,1563557.0,3546.9982812957624,490.9543919181537,25860.233666769058
2020-05-08,1401.0,215859.0,274.0,29958.0,45428.0,1608985.0,3570.1699260564865,495.4861768320998,26611.58375826811
2020-05-09,1327.0,217186.0,243.0,30201.0,36091.0,1645076.0,3592.117658103225,499.5052415550519,27208.505836112003
2020-05-10,1083.0,218269.0,194.0,30395.0,31384.0,1676460.0,3610.0297860660116,502.7138775890137,27727.57714172982
2020-05-11,802.0,219071.0,165.0,30560.0,25823.0,1702283.0,3623.294353587854,505.44287215398117,28154.673060827736
2020-05-12,744.0,219815.0,179.0,30739.0,39620.0,1741903.0,3635.5996381717073,508.40341777294594,28809.96254363993
2020-05-13,1402.0,221217.0,172.0,30911.0,37049.0,1778952.0,3658.787822293431,511.24818786491204,29422.729329321635
2020-05-14,888.0,222105.0,195.0,31106.0,41131.0,1820083.0,3673.4747748612563,514.4733632598736,30103.009786604533
2020-05-15,992.0,223097.0,262.0,31368.0,39027.0,1859110.0,3689.8818209730607,518.8066758418221,30748.49142834385
2020-05-16,789.0,223886.0,242.0,31610.0,40657.0,1899767.0,3702.9313768019056,522.8092012037744,31420.93222851284
2020-05-17,875.0,224761.0,153.0,31763.0,33505.0,1933272.0,3717.403317676733,525.3397234367443,31975.08351881124
2020-05-18,675.0,225436.0,145.0,31908.0,26101.0,1959373.0,3728.5673863516004,527.7379307817157,32406.7773802671
2020-05-19,451.0,225887.0,99.0,32007.0,40226.0,1999599.0,3736.0266381625115,529.3753275206961,33072.08971584518
